time,seconds_elapsed,z,y,x
1774158597463090700,0.057090576171875,-8.890413691481948,-4.119894402906298,-0.3967266969680786
1774158597483084800,0.077084716796875,-8.84773657927215,-4.2073239722952245,-0.4316956824859604
1774158597503078700,0.09707861328125,-8.818800407645107,-4.266843498234451,-0.43953240399360655
1774158597523072800,0.11707275390625,-8.807299939465523,-4.291399847342074,-0.4309779992032796
1774158597543066600,0.137066650390625,-8.807102371066808,-4.29284244736582,-0.42051984315086155
1774158597563060700,0.157060791015625,-8.808955305457115,-4.289817254325747,-0.41250520779304206
1774158597583054800,0.177054931640625,-8.802782754302024,-4.302936848139763,-0.4075956257784739
1774158597603048700,0.197048583984375,-8.78995951308608,-4.330043173991143,-0.39714342454280704
1774158597623042800,0.217042724609375,-8.786222664645313,-4.339204677829146,-0.37943551655784247
1774158597643037000,0.237036865234375,-8.800641066098212,-4.311761667369306,-0.3575101004756987
1774158597663030800,0.25703076171875,-8.827404569861292,-4.257195379923284,-0.3515665723035112
1774158597683024600,0.277024658203125,-8.855803565871716,-4.198456482967734,-0.34364319542571903
1774158597703018800,0.297018798828125,-8.875826363202929,-4.158030656816065,-0.3176070560891181
1774158597723012600,0.3170126953125,-8.885943268069624,-4.137991200610995,-0.29567506413571537
1774158597743006700,0.3370068359375,-8.891406794172525,-4.126880316270888,-0.28657992179850117
1774158597763000800,0.357000732421875,-8.902385868826508,-4.103783810582756,-0.27724284219788387
1774158597782994700,0.37699462890625,-8.921769199210404,-4.06185196378231,-0.2716150471776724
1774158597802988800,0.39698876953125,-8.942942335620522,-4.014398723211884,-0.28066677049826827
1774158597822983000,0.41698291015625,-8.957783930921554,-3.9801244054272766,-0.29513407086050136
1774158597842976800,0.436976806640625,-8.959019610196352,-3.9772736921712752,-0.29605580708160995
1774158597862971000,0.456970947265625,-8.948080283030867,-4.000416667349636,-0.31448932592738416
1774158597882964700,0.47696484375,-8.926468170681595,-4.045091967639327,-0.35465507637076077
1774158597902958800,0.496958740234375,-8.897077825546264,-4.104534921211004,-0.40642344019394366
1774158597922952700,0.51695263671875,-8.86603328346312,-4.166967704248428,-0.44745669418685136
1774158597942946600,0.536946533203125,-8.835265220233797,-4.228288434390723,-0.4796378756171092
1774158597962940700,0.556940673828125,-8.808748384708165,-4.282098935033381,-0.4898638303488493
1774158597982934800,0.576934814453125,-8.806264166676998,-4.286632779070735,-0.49485257854685183
1774158598002928600,0.5969287109375,-8.831477518388628,-4.230075902329385,-0.5308892663614824
1774158598022922800,0.6169228515625,-8.864418249481917,-4.152476822081208,-0.5911123739928007
1774158598042916900,0.636916748046875,-8.898743712931871,-4.068414098776877,-0.6563165945049375
1774158598062910700,0.65691064453125,-8.925539365398883,-3.996851668344438,-0.7282216278299689
1774158598082904800,0.67690478515625,-8.928128797370196,-3.9634652393102643,-0.8659348389096557
1774158598102899000,0.69689892578125,-8.888400013571976,-3.993565194019675,-1.103705045761168
1774158598122892800,0.716892822265625,-8.794512938606738,-4.089884756828845,-1.4490566525399684
1774158598142887000,0.736886962890625,-8.638087282142042,-4.258277914462983,-1.8495688593961297
