time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1774159255147265800,0.065265869140625,-1.346227973212494,0.2340073401686443,-0.5937536045813351,0.026071398173476767,0.7507228084507879,-0.17062383191579072,0.5871208599565076
1774159255167258600,0.085258544921875,-1.316768763338687,0.2368432645042517,-0.5832335858733154,0.011296612856725627,0.7567258260693287,-0.17638034203054895,0.599455153857308
1774159255187251500,0.10525146484375,-1.2865397041128583,0.23907477939959915,-0.5725810939758493,-0.0031770470563316964,0.7630150664229552,-0.18111362289168653,0.6092344247262723
1774159255207244500,0.12524462890625,-1.2568752690799845,0.24120761325679313,-0.5620407786163172,-0.015705607460553203,0.7693333622216618,-0.18454057033458196,0.6169826705473688
1774159255227237400,0.1452373046875,-1.2259771404752386,0.24376356614051467,-0.5508687271550392,-0.027189936497038394,0.7759195697106882,-0.18727477900797818,0.6243986333314305
1774159255247230500,0.16523046875,-1.1880451855001442,0.24738495130928587,-0.5367766228256948,-0.037929937793806004,0.7842277923421562,-0.18883411446988346,0.6319704424881638
1774159255267223600,0.1852236328125,-1.1421464883328403,0.2512305567357151,-0.5198082757410409,-0.05209881360660662,0.793900747112556,-0.19079854520103223,0.6400824585306572
1774159255287216600,0.205216552734375,-1.091940602675548,0.25584923529487735,-0.5012018386659667,-0.06938175540227269,0.803579008656964,-0.19390371245819496,0.6504693036932694
1774159255307207700,0.225207763671875,-1.040690069099155,0.26092524970166425,-0.4822785624043167,-0.08932586134573171,0.8124355871250728,-0.19817634411613172,0.6625411025268063
1774159255327200800,0.24520068359375,-0.9871655223846499,0.2669402860441168,-0.4626212005683053,-0.11250453656148991,0.8204738181498984,-0.2038312837890447,0.6772192724314771
1774159255347193600,0.265193603515625,-0.9367048643802807,0.27254873163691307,-0.4447295063263903,-0.13982882023998294,0.8265546675828596,-0.21151891423803196,0.6927949109320595
1774159255367186400,0.2851865234375,-0.8968866204560647,0.27559370611948036,-0.43096915087988646,-0.16266937957750452,0.8313296825287516,-0.21726612254250574,0.701662634353009
1774159255387179500,0.305179443359375,-0.8655112878551459,0.27282080103120177,-0.42066256195557544,-0.181597861214466,0.8368084596418693,-0.21991681195239168,0.6966072257907938
1774159255407172600,0.325172607421875,-0.8365911443271181,0.26639454910783084,-0.410716641365856,-0.19453078003768234,0.8441327894959809,-0.21859958258132417,0.6806646778106026
1774159255427165400,0.34516552734375,-0.8008976693801299,0.25925386114595766,-0.3973777343869469,-0.2049102196631557,0.8536591680633308,-0.21481247109868332,0.6602980184618196
1774159255447158500,0.365158447265625,-0.758570093444063,0.2506866017389848,-0.38235671359067064,-0.22753926999793006,0.8627517556169173,-0.2159141509675587,0.6405955978048563
