time,seconds_elapsed,z,y,x
1774159255147265800,0.065265869140625,-8.161644658902286,-5.432554041531682,0.2128337175861932
1774159255167258600,0.085258544921875,-8.096276991456747,-5.532840462145209,0.09146439612926915
1774159255187251500,0.10525146484375,-8.042258985543251,-5.611755593428016,-0.02555072130667977
1774159255207244500,0.12524462890625,-7.997590991777181,-5.673900207173824,-0.12561735255653037
1774159255227237400,0.1452373046875,-7.953339762118459,-5.733060836672783,-0.21630411537680774
1774159255247230500,0.16523046875,-7.906952104952931,-5.793139165538549,-0.3000541012038477
1774159255267223600,0.1852236328125,-7.854716890802979,-5.857135544630885,-0.4095920968253165
1774159255287216600,0.205216552734375,-7.785352847197651,-5.93851443567872,-0.5410298443647101
1774159255307207700,0.225207763671875,-7.701047255048155,-6.0322892824411385,-0.6897381679177284
1774159255327200800,0.24520068359375,-7.594184963175654,-6.145125388026237,-0.8580033152580261
1774159255347193600,0.265193603515625,-7.472215118542313,-6.263411575710773,-1.0516942149516195
1774159255367186400,0.2851865234375,-7.391145439574122,-6.330079219838977,-1.2130314627248793
1774159255387179500,0.305179443359375,-7.3982427043586965,-6.292133227804303,-1.358471103338152
1774159255407172600,0.325172607421875,-7.477534852260351,-6.171420105233788,-1.4732412457257509
1774159255427165400,0.34516552734375,-7.583346173775196,-6.014930735883117,-1.5760251822434366
1774159255447158500,0.365158447265625,-7.659725649100541,-5.861170499235391,-1.7736033716991542
1774159255467151600,0.385151611328125,-7.669189643016457,-5.751183937862515,-2.0682840910352764
1774159255487144400,0.40514453125,-7.617850500923395,-5.675953632572293,-2.4335747623845934
1774159255507137500,0.425137451171875,-7.5461407709747546,-5.591801185157895,-2.8209751203417777
1774159255527130600,0.445130615234375,-7.488626155117154,-5.462849811074137,-3.2012700302079318
1774159255547123700,0.465123779296875,-7.466909413349628,-5.318962149143219,-3.48199426651448
1774159255567115500,0.485115478515625,-7.462696764090657,-5.215348629933596,-3.6439933391973374
1774159255587108600,0.505108642578125,-7.481372822988033,-5.1444695055902,-3.7059251869753003
1774159255607101700,0.525101806640625,-7.553850614699721,-5.039772282797098,-3.7027591241598126
1774159255627094500,0.545094482421875,-7.6626336455017325,-4.893693540562689,-3.6750773365080356
1774159255647087600,0.565087646484375,-7.756646392673254,-4.746487547864019,-3.670922847177088
1774159255667080700,0.585080810546875,-7.79035401648581,-4.6451931192517275,-3.7286663033545016
1774159255687073500,0.605073486328125,-7.7657187569230794,-4.598353918926418,-3.8365529698386784
1774159255707067400,0.6250673828125,-7.730324787458777,-4.56705394077748,-3.943916489231586
1774159255727060500,0.645060546875,-7.709625113779306,-4.536214273616672,-4.019307538041472
1774159255747053600,0.665053466796875,-7.6806182150036095,-4.513880568994582,-4.099191806617379
1774159255767046700,0.685046630859375,-7.621400886881351,-4.502369871681928,-4.220580928753316
1774159255787039500,0.70503955078125,-7.544943085622787,-4.4897199412062765,-4.368825032328069
1774159255807032600,0.725032470703125,-7.474755450674891,-4.465622734043002,-4.511832112032175
1774159255827025700,0.745025634765625,-7.421057178235054,-4.427634071910381,-4.636199373196066
1774159255847018500,0.7650185546875,-7.375144737365842,-4.37792428458482,-4.755144901572168
1774159255867011600,0.785011474609375,-7.3185747088819735,-4.321663760441542,-4.892042266224324
1774159255887004700,0.805004638671875,-7.229075639742613,-4.259783935111761,-5.075931975936889
1774159255906997800,0.824997802734375,-7.099560202035308,-4.203125351561606,-5.300978164163231
1774159255926990600,0.844990478515625,-6.944176748099923,-4.155049595178664,-5.53934677529931
1774159255946983700,0.864983642578125,-6.796353500285744,-4.093717466859519,-5.763804349982738
1774159255966975700,0.884975830078125,-6.682527799141407,-4.002641357661783,-5.957606089639663
1774159255986968600,0.904968505859375,-6.590984656953811,-3.8876749620497226,-6.133130998849868
1774159256006961700,0.924961669921875,-6.479439175701141,-3.7428479734420774,-6.338639542913437
1774159256026954800,0.944954833984375,-6.330602951452136,-3.5723265716075896,-6.582730038827657
1774159256046947600,0.964947509765625,-6.156620595508813,-3.382482337404787,-6.842894886708259
1774159256066940700,0.984940673828125,-5.965006136763096,-3.175065621632337,-7.106901212447881
1774159256086933500,1.00493359375,-5.738459480845928,-2.958274928314984,-7.381671508786082
1774159256106926600,1.024926513671875,-5.492580932471156,-2.745798006543517,-7.646078816542029
1774159256126919400,1.04491943359375,-5.27272588314712,-2.5678365178361533,-7.8597052006095645
1774159256146912500,1.06491259765625,-5.107702494207024,-2.4268672275699674,-8.011995949226618
1774159256166905600,1.084905517578125,-5.0002100877374405,-2.2659319847263393,-8.126120341056584
1774159256186898400,1.1048984375,-4.917746324062347,-2.0849315667144954,-8.224307159042358
1774159256206891500,1.1248916015625,-4.840671852210164,-1.9651587937340138,-8.299182075023651
1774159256226884600,1.144884521484375,-4.766615266874433,-1.8939264720387756,-8.35839706505835
1774159256246877700,1.164877685546875,-4.70030973405689,-1.8324181103698909,-8.409501229351758
1774159256266870500,1.18487060546875,-4.653026881617308,-1.7579333627499638,-8.45159089706242
1774159256286863600,1.204863525390625,-4.610629170870781,-1.6918739136479795,-8.488229898151754
1774159256306856700,1.224856689453125,-4.544318377356231,-1.6343028914280235,-8.535140702408551
