time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1774159848548248300,0.051248291015625,-2.1463894764280176,0.09241101554727882,-0.8595452934308113,-0.022093485050905512,0.46421472124518315,-0.19273506238025742,0.43028092715769767
1774159848568238300,0.07123828125,-2.135111169185579,0.09045330079068484,-0.8568597677883351,-0.03240820827805341,0.46771541640939573,-0.19710867149574032,0.4360934733591098
1774159848588229400,0.0912294921875,-2.123146903129245,0.08798174889283292,-0.8539499721141574,-0.04507700198934809,0.4711174195001521,-0.20267502001630822,0.44343871571839155
1774159848608219400,0.111219482421875,-2.113466628390965,0.08631248026032326,-0.8510875002700521,-0.0585875788022965,0.4730064042882877,-0.21086768428090877,0.4562518001371883
1774159848628210400,0.13121044921875,-2.1039658758707547,0.08641008855781376,-0.8477371828947525,-0.07088990527274729,0.47446784806277836,-0.22080576838969668,0.4739092032269522
1774159848648200200,0.1512001953125,-2.094626737048756,0.08874937724246863,-0.8440992911839668,-0.07861852728049208,0.4761500578834961,-0.23000234600516714,0.4924721155956817
1774159848668191500,0.17119140625,-2.084877963196852,0.08871251280292344,-0.8405699251775597,-0.09247354502862112,0.4771186637290728,-0.24068633832351863,0.5112642066826095
1774159848688181500,0.191181396484375,-2.071329230871958,0.0841844980416511,-0.8367977214802237,-0.11701745673306334,0.4783542062000509,-0.25270505395072956,0.5276056641132378
1774159848708172300,0.21117236328125,-2.0478681482424546,0.07788850905360474,-0.8312881044015918,-0.14599525329621116,0.4833748529212728,-0.2631394154385672,0.5384291485214009
1774159848728162300,0.231162353515625,-2.015105558753874,0.07451695794266439,-0.8235832668358173,-0.16851159136334973,0.49331239503180246,-0.269815895718282,0.5444550263073961
1774159848748153300,0.2511533203125,-1.98634960916624,0.0769329260846316,-0.8162938299184536,-0.1746692655612477,0.5038498794180307,-0.2718103698037416,0.5483496414513295
1774159848768143400,0.271143310546875,-1.9710682626645075,0.08282674385060623,-0.8118253389077515,-0.1675759580016728,0.5106605742439992,-0.2707494165490628,0.5517697664032571
1774159848788134400,0.291134521484375,-1.966111589332266,0.08555250525699093,-0.8104076377996672,-0.16179858101327663,0.5135621725024532,-0.2686525154489021,0.5507296823148718
1774159848808124400,0.31112451171875,-1.955291516848919,0.08010125652957566,-0.8088806177192096,-0.1726181982698353,0.5174793072800952,-0.2674157907671794,0.5416101748692356
1774159848828115500,0.331115478515625,-1.939144960762567,0.07412348546177838,-0.8061144179525921,-0.18488141209730766,0.5236108574873611,-0.2655505200178982,0.5302533641164611
1774159848848105500,0.35110546875,-1.9193197153375308,0.0705848875740736,-0.8020414905692348,-0.19238376176882907,0.53181751019419,-0.2625211546261404,0.5191960275918535
1774159848868096300,0.37109619140625,-1.9046255384913375,0.06797256887755943,-0.7989305578279382,-0.19775255248187112,0.5379215593426563,-0.26024999355794737,0.5109099121824352
1774159848888086300,0.391086181640625,-1.8927123946584323,0.06451257971479822,-0.7962866595625027,-0.20802729535878658,0.5416881542465047,-0.2614185076867652,0.5077582432041965
1774159848908077300,0.411077392578125,-1.8782639772427074,0.06054446695740922,-0.792666769817193,-0.22527876933089652,0.544763666769557,-0.26692026699501537,0.5110834134403159
1774159848928067300,0.4310673828125,-1.86328405226231,0.057934004703422116,-0.7886126143751984,-0.24207435430423313,0.5476032909794781,-0.27361359084678266,0.5178347875336957
1774159848948058400,0.451058349609375,-1.8487213466186079,0.057288584379623295,-0.784451814111658,-0.2549598717501652,0.5505480513054051,-0.2797325031580257,0.5258560437881538
1774159848968048400,0.47104833984375,-1.8350785669119867,0.05726437602769881,-0.7805645117559513,-0.264665241631656,0.5537350240010341,-0.28428398787282677,0.5319589495469879
1774159848988039200,0.4910390625,-1.8214656293072118,0.056284116302773586,-0.7768921500923249,-0.27415292574075245,0.5573503492256674,-0.28745678749081754,0.5344708851083513
1774159849008029400,0.511029541015625,-1.8091341235494502,0.053845058998527214,-0.7738016853416396,-0.28387702389005065,0.5609218665834756,-0.28930645407921385,0.5330207851456821
1774159849028020500,0.5310205078125,-1.7987716940106881,0.051481109632820515,-0.7711995694661883,-0.2928741877990967,0.5637895156365296,-0.2911053627573833,0.5317583556283414
1774159849048010200,0.55101025390625,-1.7902478554414367,0.050423035684569684,-0.7689122462436112,-0.29957191770415453,0.5659727389878726,-0.29309809224245525,0.5326401911120067
