time,seconds_elapsed,z,y,x
1774158159798745600,0.05874560546875,-9.462700368973612,-2.5688185146108267,-0.16988310393095016
1774158159818738400,0.078738525390625,-9.464448089423776,-2.5617431693971158,-0.1791180383313447
1774158159838731500,0.0987314453125,-9.46343277490139,-2.5640397559016943,-0.19880331080388278
1774158159858721500,0.118721435546875,-9.458633850187063,-2.579194947196543,-0.22887076974948867
1774158159878714600,0.138714599609375,-9.451453583294153,-2.601442727100849,-0.27001749405423175
1774158159898707500,0.15870751953125,-9.444975327190756,-2.617502173759043,-0.3339205140409991
1774158159918699500,0.178699462890625,-9.443451478624343,-2.6074989583998915,-0.4388105925250798
1774158159938692400,0.1986923828125,-9.44903541623652,-2.5582500665843484,-0.5843562142634764
1774158159958684400,0.218684326171875,-9.453530974090098,-2.494904552616179,-0.7593366048008203
1774158159978677500,0.238677490234375,-9.444491927587986,-2.4599904756233095,-0.9593778964344412
1774158159998670300,0.25867041015625,-9.408754843774437,-2.512530517938733,-1.1545161453921347
1774158160018662400,0.278662353515625,-9.342047452157736,-2.6705191859364508,-1.328479139047861
1774158160038655500,0.298655517578125,-9.253696384009718,-2.88632057595551,-1.4861508500508964
1774158160058648300,0.3186484375,-9.159070473375916,-3.091241675519943,-1.6510728244431316
1774158160078640400,0.338640380859375,-9.06922536727786,-3.2506092306554315,-1.8311406377799808
1774158160098633500,0.358633544921875,-8.993127631503343,-3.3458179096132517,-2.024733703122288
1774158160118626300,0.378626220703125,-8.943383065125346,-3.3632363696649668,-2.2079235940024255
1774158160138618400,0.398618408203125,-8.924527558007837,-3.2941163639485835,-2.381593084604293
1774158160158611500,0.418611572265625,-8.925714137443899,-3.1522993708118796,-2.5622300761312244
1774158160178603500,0.438603515625,-8.934618159389496,-2.970327477419376,-2.7422882448568937
1774158160198596400,0.458596435546875,-8.941607872146367,-2.7899901994913816,-2.904133003760874
1774158160218589400,0.47858935546875,-8.94434635719955,-2.64160376483649,-3.0316634051308036
1774158160238581500,0.49858154296875,-8.934477289614081,-2.5360478793874384,-3.1486443554356693
1774158160258574600,0.51857470703125,-8.90749049848914,-2.472278002527356,-3.273352100600302
1774158160278567700,0.538567626953125,-8.871904221323131,-2.431147973629087,-3.398414066030085
1774158160298559500,0.5585595703125,-8.834353950607776,-2.3950578385941683,-3.5196976819649337
1774158160318552600,0.578552490234375,-8.797917778614163,-2.378358194336295,-3.6208337051451203
1774158160338545700,0.598545654296875,-8.765998207262157,-2.3837137300200757,-3.693991295814514
1774158160358537500,0.618537353515625,-8.736530120715498,-2.3887176757872104,-3.7599797255069016
1774158160378530600,0.638530517578125,-8.707727220079303,-2.3861644841730594,-3.827805307498574
1774158160398522400,0.6585224609375,-8.67216432378888,-2.397444149208814,-3.900796601690352
1774158160418515500,0.678515380859375,-8.62768629963696,-2.43436868924126,-3.975834599278867
1774158160438508500,0.698508544921875,-8.582916014540196,-2.4929987189948557,-4.035950337545573
1774158160458500400,0.718500244140625,-8.544959501111506,-2.5596745464295148,-4.074569698797166
1774158160478493400,0.738493408203125,-8.516115683943033,-2.6234669273823497,-4.094335598757863
1774158160498486500,0.758486572265625,-8.49357359726727,-2.6872806433841583,-4.099770191027224
1774158160518478300,0.778478271484375,-8.471606095609069,-2.7532217268034813,-4.1014685193777085
1774158160538471400,0.798471435546875,-8.449031860229372,-2.8182711220800876,-4.103851322861016
1774158160558463200,0.818463134765625,-8.427468263196944,-2.872143874303996,-4.110833436833322
1774158160578456300,0.838456298828125,-8.411576866582035,-2.9085759546443817,-4.117760898008942
1774158160598449400,0.858449462890625,-8.404232933560014,-2.925283928339183,-4.1209181929960845
1774158160618441200,0.878441162109375,-8.400644553679227,-2.9379949413523074,-4.1191915153339504
1774158160638434300,0.898434326171875,-8.39797270412147,-2.9670450947478413,-4.103789363540709
1774158160658427400,0.918427490234375,-8.401336627596617,-3.0165298411458727,-4.0606005024164915
1774158160678419500,0.93841943359375,-8.41895411735177,-3.072875120963156,-3.9810841903701424
1774158160698412500,0.95841259765625,-8.447410981029272,-3.124155518606305,-3.879598623099923
1774158160718405400,0.9784052734375,-8.474850192096829,-3.1652175968348977,-3.7853266404703256
1774158160738397400,0.9983974609375,-8.491683837997913,-3.1961908272475004,-3.7210274790391322
1774158160758390500,1.018390625,-8.493893330740928,-3.219091518102586,-3.696161917851865
1774158160778382600,1.038382568359375,-8.488952367207407,-3.235024123510718,-3.693601419714093
1774158160798375400,1.05837548828125,-8.481775607445835,-3.2468928404808044,-3.6996690491899846
1774158160818368500,1.078368408203125,-8.469857790637016,-3.260747178310156,-3.7147584817722437
1774158160838360600,1.098360595703125,-8.456557579559087,-3.2770512473791835,-3.730677643176913
1774158160858354200,1.118354248046875,-8.450630527597665,-3.289229176428914,-3.7333907015278935
1774158160878347300,1.13834716796875,-8.456922905740141,-3.2876050823584198,-3.7205493401333687
1774158160898339000,1.158339111328125,-8.465432375410199,-3.2764673100113866,-3.711010819676518
1774158160918332200,1.178332275390625,-8.465058281400799,-3.270356718176603,-3.717249421805143
1774158160938324000,1.198323974609375,-8.45362620228231,-3.271720700006187,-3.741981419740617
1774158160958317000,1.218317138671875,-8.438810325944424,-3.279639510306716,-3.7683985942840574
1774158160978310100,1.23831005859375,-8.429395431867242,-3.2906083558276293,-3.7798908791571852
1774158160998302000,1.258302001953125,-8.426463470068574,-3.305365487715602,-3.7735473553493617
1774158161018295000,1.278294921875,-8.426798985633253,-3.3255995897099373,-3.7549741723045704
1774158161038288100,1.2982880859375,-8.430346448981762,-3.3414746197119354,-3.7328526491284366
1774158161058280000,1.318280029296875,-8.435344111138582,-3.342553939381242,-3.7205756436184045
1774158161078273000,1.33827294921875,-8.439502984383703,-3.3400963170960543,-3.7133451078429816
1774158161098265000,1.35826513671875,-8.446403265291451,-3.3500048399090767,-3.688648473481834
1774158161118258000,1.3782578125,-8.456500880935788,-3.3690564541205763,-3.6479365238651633
1774158161138251000,1.3982509765625,-8.466077103054523,-3.3856808411851524,-3.6101375390857458
1774158161158243000,1.4182431640625,-8.471606095609069,-3.398435985600948,-3.5850960368096825
1774158161178236000,1.43823583984375,-8.473826694267988,-3.4036192334577438,-3.5749154190570116
1774158161198229000,1.45822900390625,-8.475403734326362,-3.3953079167082905,-3.5790780916944143
1774158161218221300,1.47822119140625,-8.476818861821293,-3.3772301159650087,-3.592805003751814
1774158161238214000,1.4982138671875,-8.48232447350025,-3.354173942287266,-3.601398936834931
1774158161258207000,1.51820703125,-8.494948392751812,-3.3256624258130785,-3.5980826518937943
1774158161278199000,1.538198974609375,-8.506395084917544,-3.2955610097989436,-3.598736147366464
1774158161298192100,1.558192138671875,-8.506320850637554,-3.266063404896855,-3.625703941529989
1774158161318184200,1.57818408203125,-8.497197048461437,-3.2408404085740443,-3.669466218627989
1774158161338177000,1.598177001953125,-8.489510001090169,-3.225221691420674,-3.700884270198643
1774158161358170000,1.618170166015625,-8.488159755524993,-3.219312467376888,-3.709118137797713
1774158161378162200,1.638162109375,-8.487969785910844,-3.2143051606088875,-3.7138930971145627
1774158161398155000,1.658155029296875,-8.482243224957585,-3.206071877531707,-3.734038351781666
1774158161418148000,1.678148193359375,-8.47197726700902,-3.198444159132242,-3.7637668428301807
1774158161438140200,1.69814013671875,-8.463961133813857,-3.193476015330851,-3.7859552937626835
1774158161458133000,1.718133056640625,-8.459172730493545,-3.191517867000401,-3.7982887056350707
1774158161478125000,1.738125,-8.458867025545239,-3.1883000739976763,-3.8016698725059626
1774158161498118100,1.7581181640625,-8.461615447470546,-3.181459706583619,-3.8012840880587695
1774158161518111000,1.778111083984375,-8.465367493480443,-3.168889855606854,-3.803429867915809
1774158161538103000,1.79810302734375,-8.472326226577163,-3.1512104065313933,-3.802623812229931
1774158161558096100,1.81809619140625,-8.481758656311035,-3.13157806982249,-3.797810858990252
1774158161578089000,1.8380888671875,-8.489625736424326,-3.1071663898825643,-3.800283094322681
1774158161598081000,1.8580810546875,-8.492107031846047,-3.078215897469222,-3.8182577269524334
1774158161618074000,1.87807421875,-8.489403618106245,-3.059950465199351,-3.8388939800068735
1774158161638066200,1.898066162109375,-8.484924426865577,-3.0644854782804845,-3.8451755444943903
1774158161658059000,1.91805908203125,-8.478002518647909,-3.0769825562819837,-3.850459037855267
1774158161678052000,1.938052001953125,-8.464134736815094,-3.0816622385308143,-3.8771339865520593
1774158161698044200,1.958044189453125,-8.441728259217738,-3.0825369755387304,-3.9249934698358175
1774158161718037200,1.978037353515625,-8.419577217686175,-3.080238343207538,-3.974070219954848
1774158161738030000,1.998030029296875,-8.403284254533052,-3.069889383150637,-4.016338751363754
1774158161758022100,2.018022216796875,-8.395794191038608,-3.0476296205475926,-4.048824724426865
1774158161778015200,2.03801513671875,-8.40084679825306,-3.012682518067956,-4.064467991499603
1774158161798007000,2.058007080078125,-8.414899873524904,-2.977909018589556,-4.0610228194817894
1774158161818000100,2.078000244140625,-8.428862932425737,-2.9544442641109225,-4.049187420259416
1774158161837993200,2.0979931640625,-8.431415539517998,-2.947032234288752,-4.04927392949909
1774158161857984500,2.117984619140625,-8.421162441051006,-2.95373991523385,-4.065689934509992
1774158161877977600,2.1379775390625,-8.405933307737111,-2.9602263546437024,-4.092398493215441
1774158161897970700,2.157970703125,-8.39651782913804,-2.9548724263951183,-4.115531239260733
1774158161917962500,2.17796240234375,-8.399372049525379,-2.937698296493292,-4.12199809718728
1774158161937955600,2.19795556640625,-8.403756548219919,-2.9135014283478258,-4.1302264118283984
1774158161957948700,2.21794873046875,-8.396727672496437,-2.8884678171172737,-4.161982609312236
1774158161977940500,2.2379404296875,-8.37917331110537,-2.870018844974041,-4.209848814597725
1774158161997933600,2.25793359375,-8.35086316242218,-2.8532117948189377,-4.2769913827613
1774158162017925600,2.277925537109375,-8.308362575823068,-2.8296269210919736,-4.37432362974435
1774158162037918500,2.29791845703125,-8.260282727786898,-2.8029689235299826,-4.481236190499365
1774158162057911600,2.31791162109375,-8.225742744803428,-2.779884692801535,-4.55848455761373
1774158162077904000,2.33790380859375,-8.216887238174676,-2.7612542266115545,-4.585698435492813
1774158162097896400,2.357896484375,-8.225434701767563,-2.7403181138277053,-4.5829316011279815
1774158162117889500,2.3778896484375,-8.23498754301071,-2.7173805980935692,-4.579433529879153
1774158162137881900,2.3978818359375,-8.235133673483134,-2.7077377404794096,-4.584879228064418
1774158162157874700,2.417874755859375,-8.224102576380968,-2.7166747879117725,-4.599368648926913
1774158162177866800,2.43786669921875,-8.211542954537272,-2.7268258873090145,-4.615774132543802
1774158162197859800,2.45785986328125,-8.197797922301293,-2.73113352137506,-4.637608070950209
1774158162217852700,2.477852783203125,-8.17505008392036,-2.737151758751273,-4.674071423211694
1774158162237844700,2.4978447265625,-8.140355787158011,-2.7469474688395854,-4.7285596769854426
1774158162257837800,2.517837890625,-8.09554400100708,-2.7602818744480606,-4.797227847281098
1774158162277830700,2.53783056640625,-8.04789377655983,-2.782584599409997,-4.8640527277976275
1774158162297822700,2.55782275390625,-8.007924169743061,-2.8157220221191643,-4.910727385210991
1774158162317815600,2.577815673828125,-7.9754849584311245,-2.8623008179426193,-4.936522336202859
1774158162337807600,2.5978076171875,-7.9450921582549805,-2.9066800578951835,-4.959546653437614
1774158162357800700,2.61780078125,-7.924785867807269,-2.918189586164057,-4.985210671526193
