time,seconds_elapsed,z,y,x
1774158159798745600,0.05874560546875,0.134741063401103,-0.11553045923560858,-0.14016606585821137
1774158159818738400,0.078738525390625,0.16701485501825808,-0.100160163885355,-0.21936686394829302
1774158159838731500,0.0987314453125,-0.06938041021823883,0.04114975651204586,-0.24816417509391903
1774158159858721500,0.118721435546875,-0.24117490072846412,0.05421002135425806,-0.05199899424128234
1774158159878714600,0.138714599609375,-0.3019254297673702,0.28071313039064405,-0.0555939317270182
1774158159898707500,0.15870751953125,-0.181959326171875,0.5878180086225271,-0.16197846828624604
1774158159918699500,0.178699462890625,-0.2753612479686737,0.6376695425063371,-0.1069178214520216
1774158159938692400,0.1986923828125,-0.5678554170459509,0.45793666021227836,-0.005215944550000131
1774158159958684400,0.218684326171875,-0.836149210846424,1.1557976365700364,-0.623763693685457
1774158159978677500,0.238677490234375,-1.1721464215636253,0.356684317176044,-0.5820390598949045
1774158159998670300,0.25867041015625,-1.25472007535398,0.09169336431324482,-0.43538339455537495
1774158160018662400,0.278662353515625,-0.7224281391203403,0.7808955256581306,-0.28536241750121116
1774158160038655500,0.298655517578125,-0.14429332012236118,0.78585753197968,-0.0596055967874825
1774158160058648300,0.3186484375,0.24455986699163912,0.42140754923820495,-0.225532364308089
1774158160078640400,0.338640380859375,0.4927461077868938,0.03100654816031456,-0.19629925556108355
1774158160098633500,0.358633544921875,0.3976443963348865,-0.1832353374570608,0.01584887264743447
1774158160118626300,0.378626220703125,0.6369996804207563,-0.24437661937922237,0.0999786698386073
1774158160138618400,0.398618408203125,0.5741513023197651,-0.4453270617470145,0.34622239826396106
1774158160158611500,0.418611572265625,0.20633096636235712,-0.4776096211925149,0.7195926234334706
1774158160178603500,0.438603515625,-0.11232172632217406,-0.544061284482479,0.7922109926596284
1774158160198596400,0.458596435546875,-0.1813479162752628,-0.5484244481280446,0.5109788068309427
1774158160218589400,0.47858935546875,0.2902051813572645,-0.8624600024059415,0.43949119520038366
1774158160238581500,0.49858154296875,0.2869201683372259,-0.9169894649729132,0.46055473375618455
1774158160258574600,0.51857470703125,-0.07764847234785556,-0.21865473362356422,0.34359774884879585
1774158160278567700,0.538567626953125,-0.20137188265025616,0.19122253681868315,-0.042053719614446164
1774158160298559500,0.5585595703125,-0.6396516562342643,-0.34959523569792506,-0.18413228629678488
1774158160318552600,0.578552490234375,-0.7278624391287565,-0.33397301141321656,-0.17996143035292625
1774158160338545700,0.598545654296875,-0.19325404264628887,0.14977394349053502,-0.21663784084320067
1774158160358537500,0.618537353515625,0.0752069244146347,0.16076339340806006,-0.26751637968719005
1774158160378530600,0.638530517578125,0.19768705665767192,0.057204819256067276,-0.30668168438374993
1774158160398522400,0.6585224609375,0.3107143009006977,0.4416806680686772,-0.2778334833011031
1774158160418515500,0.678515380859375,0.4269470631867647,0.5251425028704106,-0.2827019661203027
1774158160438508500,0.698508544921875,0.8324363278031349,0.18438947592824698,-0.18397972608357666
1774158160458500400,0.718500244140625,1.2240899592906236,-0.14682050051242113,-0.13084551726728677
1774158160478493400,0.738493408203125,1.4506769472181795,-0.39262861399948595,0.11831482925713062
1774158160498486500,0.758486572265625,1.6732412555009126,-0.2143421311214566,0.2439084173455834
1774158160518478300,0.778478271484375,1.5830390065282582,-0.017767419619858265,0.17048866860866546
1774158160538471400,0.798471435546875,1.3834434859007596,-0.0936766470849514,0.10658201362639665
