time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1774158159798745600,0.05874560546875,2.075865536381804,-0.07478372392895948,-0.8531668293112626,-0.017950991500171196,-0.5045491110460822,-0.1092884001136068,0.2650386807641575
1774158159818738400,0.078738525390625,2.078180973302203,-0.07488467350219392,-0.8537583000218065,-0.018923095322356677,-0.5036361921096911,-0.10881055499424351,0.2642911457998228
1774158159838731500,0.0987314453125,2.0801214300995716,-0.07572873634427862,-0.8541538050519575,-0.021004437300525442,-0.5029135838821472,-0.10846364392370518,0.26453377425451985
1774158159858721500,0.118721435546875,2.082166597601775,-0.07737986978269507,-0.8544497771777936,-0.024192301488995954,-0.5021670420548637,-0.10842617266397121,0.2661352068718582
1774158159878714600,0.138714599609375,2.0850841469487684,-0.0796750051870755,-0.8548669573742504,-0.028561118047620425,-0.50109135369559,-0.10845221685692152,0.26848741394774966
1774158159898707500,0.15870751953125,2.0900417134916496,-0.08272765878241188,-0.855726291715681,-0.035339583526064,-0.49929178628968657,-0.1076865783773231,0.27018627016341656
1774158159918699500,0.178699462890625,2.0997094314712808,-0.08670553237032215,-0.8577282768898541,-0.04643378286134008,-0.4957661597503404,-0.10488144837588204,0.2691279776416163
1774158159938692400,0.1986923828125,2.1157390565870062,-0.09120842317706217,-0.861331005932625,-0.06176428847349417,-0.4897709490711871,-0.09957056063123053,0.26392215311178435
1774158159958684400,0.218684326171875,2.1361187310165346,-0.09656880336977208,-0.8658554170070042,-0.08015099103498297,-0.48196525221653447,-0.09315864401212373,0.25723701031974566
1774158159978677500,0.238677490234375,2.162227768205225,-0.10368499151028865,-0.8712696917910172,-0.10123343973058667,-0.4716187147883179,-0.08783139379687013,0.25355743316939283
1774158159998670300,0.25867041015625,2.191286215007327,-0.1127862449568133,-0.876523017258266,-0.12209622579463221,-0.4598047044944997,-0.08698431747468749,0.25909597357312775
1774158160018662400,0.278662353515625,2.2214483368394315,-0.12351519135650561,-0.8809943619306888,-0.1412571883091162,-0.4473932290300951,-0.09182660538655583,0.2758003883725519
1774158160038655500,0.298655517578125,2.25464608199073,-0.13469526195128295,-0.8852999590038787,-0.15924099399821082,-0.4336486193407655,-0.10024960719326609,0.2987468290912884
1774158160058648300,0.3186484375,2.2914055037575305,-0.14567261538191706,-0.8898769646981127,-0.17835098102632607,-0.4184513950805741,-0.10861338208989493,0.320687316915127
1774158160078640400,0.338640380859375,2.3301459852769897,-0.15610377779383444,-0.8946485665350978,-0.19922859681619776,-0.4024993243383351,-0.11502089443965795,0.3378611147867645
1774158160098633500,0.358633544921875,2.3692558672047745,-0.16565200168720187,-0.8995618495591172,-0.22144990531717568,-0.38640720168709936,-0.11848002460151455,0.34817030936107796
1774158160118626300,0.378626220703125,2.4067263861604484,-0.1730409515423852,-0.9047203891786754,-0.24203806569893005,-0.3707648467567446,-0.11862209276495136,0.35006051782984593
1774158160138618400,0.398618408203125,2.4416775975176113,-0.178296791579453,-0.9101849481627876,-0.260782206131629,-0.3557914811215966,-0.11483019605750903,0.3425673707922913
1774158160158611500,0.418611572265625,2.4746778896732295,-0.18268386935045372,-0.9157747622422571,-0.2795448863283066,-0.34123512744238244,-0.10743294877399139,0.3272551568568229
1774158160178603500,0.438603515625,2.506559826512748,-0.1865884488796071,-0.9213048587788748,-0.2978009571591113,-0.32670515071881734,-0.09821412834776122,0.3077227250509393
